betaP, Volume Fraction
1.000000000000000056e-01,4.344002518209410385e-02
1.000000000000000056e-01,4.405683306812868683e-02
1.000000000000000056e-01,4.307727437601024251e-02
1.000000000000000056e-01,4.372058809167545662e-02
1.000000000000000056e-01,4.295369985609947400e-02
1.000000000000000056e-01,4.463598458193133306e-02
1.000000000000000056e-01,4.468728215952953026e-02
1.000000000000000056e-01,4.366145260922004584e-02
1.000000000000000056e-01,4.312305261780085414e-02
1.000000000000000056e-01,4.473400247778343969e-02
1.000000000000000056e-01,4.442950172154456340e-02
1.000000000000000056e-01,4.296244421382767326e-02
1.000000000000000056e-01,4.354857427146708454e-02
1.000000000000000056e-01,4.498216731334624130e-02
1.000000000000000056e-01,4.532127507129758703e-02
1.000000000000000056e-01,4.516573272582813381e-02
1.000000000000000056e-01,4.476048953749504900e-02
1.000000000000000056e-01,4.478156770490761274e-02
1.000000000000000056e-01,4.573898774004240414e-02
1.000000000000000056e-01,4.882748644458680121e-02
1.000000000000000056e-01,4.792261273777909114e-02
1.000000000000000056e-01,5.079499644934858810e-02
1.000000000000000056e-01,5.304107952248805768e-02
1.000000000000000056e-01,5.108636135545291390e-02
1.000000000000000056e-01,5.112567908534269151e-02
1.000000000000000056e-01,4.854534010554482915e-02
1.000000000000000056e-01,5.064372921155171209e-02
1.000000000000000056e-01,4.994877832780467153e-02
1.000000000000000056e-01,5.261955359166416157e-02
1.000000000000000056e-01,5.045454274731381306e-02
1.000000000000000056e-01,5.432970820414494834e-02
1.000000000000000056e-01,5.216788296653084023e-02
1.000000000000000056e-01,5.218469751616474500e-02
1.000000000000000056e-01,5.342144626885069608e-02
1.000000000000000056e-01,5.212281936984889535e-02
1.000000000000000056e-01,5.310783202680587761e-02
1.000000000000000056e-01,4.927735092613764328e-02
1.000000000000000056e-01,4.970533163417183153e-02
1.000000000000000056e-01,4.724004389042751190e-02
1.000000000000000056e-01,4.782929514314298441e-02
1.000000000000000056e-01,4.663944257281721351e-02
1.000000000000000056e-01,4.563660784986606905e-02
1.000000000000000056e-01,4.362174656012962615e-02
1.000000000000000056e-01,4.511358294056778268e-02
1.000000000000000056e-01,4.534116472389280311e-02
1.000000000000000056e-01,4.525684457643221192e-02
1.000000000000000056e-01,4.367018688577942870e-02
1.000000000000000056e-01,4.421224770147517275e-02
1.000000000000000056e-01,4.373319587553418930e-02
1.000000000000000056e-01,4.286116990827038703e-02
1.000000000000000056e-01,4.360435135725370531e-02
1.000000000000000056e-01,4.369120777882940648e-02
1.000000000000000056e-01,4.270482603911050085e-02
1.000000000000000056e-01,4.299404373536437618e-02
1.000000000000000056e-01,4.457368777985907388e-02
1.000000000000000056e-01,4.424880999626147615e-02
1.000000000000000056e-01,4.487735838612588041e-02
1.000000000000000056e-01,4.475255936162347847e-02
1.000000000000000056e-01,4.442266687959594423e-02
1.000000000000000056e-01,4.436860209549106648e-02
1.000000000000000056e-01,4.416322205314533733e-02
1.000000000000000056e-01,4.245180570416322990e-02
1.000000000000000056e-01,4.249403022396960883e-02
1.000000000000000056e-01,4.167788741212501841e-02
1.000000000000000056e-01,3.960561181627074434e-02
1.000000000000000056e-01,4.017311696888761774e-02
1.000000000000000056e-01,4.055348397665400895e-02
1.000000000000000056e-01,4.221030867799157454e-02
1.000000000000000056e-01,4.296161411887054749e-02
1.000000000000000056e-01,4.329993270299727082e-02
1.000000000000000056e-01,4.289043097073631794e-02
1.000000000000000056e-01,4.237236131094986036e-02
1.000000000000000056e-01,4.132481370541422200e-02
1.000000000000000056e-01,4.105440125258820461e-02
1.000000000000000056e-01,3.942003657221417046e-02
1.000000000000000056e-01,3.967678444620451744e-02
1.000000000000000056e-01,4.052477086854878313e-02
1.000000000000000056e-01,4.044637884641547054e-02
1.000000000000000056e-01,4.007794778029002969e-02
1.000000000000000056e-01,3.985856292410193402e-02
1.000000000000000056e-01,3.931703521522016825e-02
1.000000000000000056e-01,3.931984285334748364e-02
1.000000000000000056e-01,4.133208868505264255e-02
1.000000000000000056e-01,4.156127323782791982e-02
1.000000000000000056e-01,4.205096653900615433e-02
1.000000000000000056e-01,4.261022017559960157e-02
1.000000000000000056e-01,4.072211054966275862e-02
1.000000000000000056e-01,3.988853580087885903e-02
1.000000000000000056e-01,4.008227174563205181e-02
1.000000000000000056e-01,4.053109544114506801e-02
1.000000000000000056e-01,4.069192957817042988e-02
1.000000000000000056e-01,4.079664350274397888e-02
1.000000000000000056e-01,4.122069898723808995e-02
1.000000000000000056e-01,4.205978973731908793e-02
1.000000000000000056e-01,4.164344550221520114e-02
1.000000000000000056e-01,4.269408630127613513e-02
1.000000000000000056e-01,4.140773375347801127e-02
1.000000000000000056e-01,4.203666262839408224e-02
1.000000000000000056e-01,4.306651607443694879e-02
1.000000000000000056e-01,4.281339812698563979e-02
1.000000000000000056e-01,4.137302830371981932e-02
1.000000000000000056e-01,4.002001759160134231e-02
1.000000000000000056e-01,4.041579879453675861e-02
1.000000000000000056e-01,4.234687532301142227e-02
1.000000000000000056e-01,4.398720515226054589e-02
1.000000000000000056e-01,4.438401665123962309e-02
1.000000000000000056e-01,4.562068415909441982e-02
1.000000000000000056e-01,4.458763427714429461e-02
1.000000000000000056e-01,4.440001545254750742e-02
1.000000000000000056e-01,4.532418755652362768e-02
1.000000000000000056e-01,4.416517941910774042e-02
1.000000000000000056e-01,4.527541133417641028e-02
1.000000000000000056e-01,4.673072619058584592e-02
